Date,Open,High,Low,Close,Adj Close,Volume
09/11/15,148.800003,153.639999,147.059998,152.389999,138.040512,19696955
10/11/15,151.029999,153.300003,147.419998,147.929993,134.000473,11980700
13/11/15,150.699997,151.5,146.699997,147.619995,133.719681,19647750
16/11/15,147.199997,150.600006,147.020004,150.190002,136.047668,12772960
17/11/15,151.279999,151.479996,147.399994,149.130005,135.087494,15427460
18/11/15,149.130005,150.199997,144.039993,144.610001,130.993118,13495465
19/11/15,145.699997,146.979996,144.820007,146.679993,132.868179,16618620
20/11/15,146.669998,148.320007,145.020004,146.240005,132.46962,13068955
23/11/15,146.800003,148.949997,146.419998,148.130005,134.181656,11223220
24/11/15,148,149.639999,147.580002,148.830002,134.815735,12498670
26/11/15,149.389999,150.800003,149.039993,149.960007,135.83934,14841055
27/11/15,150.199997,153.940002,149.770004,152.539993,138.176392,12464520
30/11/15,152.399994,154.199997,152.399994,153.399994,138.955414,11087220
01/12/15,154,154.399994,151.740005,152.039993,137.723465,10485970
02/12/15,152.440002,152.740005,149.600006,150.130005,135.993347,9236230
03/12/15,149,151.779999,149,150.410004,136.246979,10662525
04/12/15,149,150.240005,147.710007,148,134.063904,8180645
07/12/15,148.979996,149.179993,146.5,146.979996,133.139938,7792800
08/12/15,146.199997,147,144.720001,145.149994,131.482239,7330215
09/12/15,145,146.979996,142.690002,143.339996,129.842697,10317275
10/12/15,143.979996,144.360001,140.460007,141.419998,128.103485,16252330
11/12/15,141.800003,142.740005,134.449997,136.119995,123.302544,28722100
14/12/15,135.820007,137.800003,133.600006,136.649994,123.782631,17360285
15/12/15,137.600006,138.839996,135.149994,138.270004,125.250107,13407435
16/12/15,139.399994,142.119995,138.850006,139.710007,126.554512,18151740
17/12/15,141.600006,144.75,141.139999,144.220001,130.639832,18659360
18/12/15,143.580002,145.490005,142.720001,143.740005,130.205032,16685490
21/12/15,143.399994,145.300003,143.380005,143.770004,130.232208,9460115
22/12/15,143.990005,145.559998,142.399994,142.789993,129.344467,8068060
23/12/15,143.600006,145.199997,143.600006,144.949997,131.301086,8680400
24/12/15,145.229996,145.880005,144.020004,144.869995,131.228607,6064000
28/12/15,145.179993,147.220001,145.039993,146.589996,132.786667,8447475
29/12/15,146.889999,147.190002,145.600006,146.289993,132.514908,7058305
30/12/15,146.759995,147.380005,146.020004,146.850006,133.022186,6045445
31/12/15,146.820007,147.300003,144.679993,145.160004,131.491318,6457360
01/01/16,145.529999,147.100006,144.550003,146.490005,132.696091,4988895
04/01/16,145.979996,145.979996,140.220001,141.149994,127.858902,12693585
05/01/16,141.800003,142.619995,139.679993,141.539993,128.212173,10345630
06/01/16,142.389999,143.380005,140.300003,140.770004,127.514694,8329590
07/01/16,138.580002,138.580002,135.139999,135.770004,122.985504,12052960
08/01/16,137,139.800003,136.669998,138.740005,125.675842,12796475
